Order_ID,Company,City,Customer_Age,Product_Category,Discount_Applied,Order_Value,Delivery_Time_Min,Distance_Km,Items_Count,Customer_Rating,Delivery_Partner_Rating
ORD000001,BigBasket Now,Bangalore,45.0,Baby Care,Yes,476.37,14.8,6.97,13.0,2.0,5.0
ORD000002,Dunzo,Bangalore,41.0,Baby Care,Yes,1121.29,20.6,8.85,6.0,2.0,4.0
ORD000003,Swiggy Instamart,Ahmedabad,22.0,Fruits & Vegetables,No,267.17,10.6,0.79,19.0,5.0,4.0
ORD000004,Dunzo,Mumbai,54.0,Beverages,Yes,217.97,16.6,8.78,13.0,4.0,4.0
ORD000005,Dunzo,Hyderabad,29.0,Baby Care,No,377.98,18.1,7.13,9.0,4.0,4.0
ORD000006,Zepto,Mumbai,52.0,Snacks & Munchies,No,749.23,19.3,2.12,11.0,3.0,5.0
ORD000007,Swiggy Instamart,Delhi,57.0,Fruits & Vegetables,No,169.33,18.0,0.74,10.0,5.0,5.0
ORD000008,Swiggy Instamart,Kolkata,19.0,Groceries,Yes,965.05,20.2,2.97,3.0,5.0,1.0
ORD000009,Swiggy Instamart,Bangalore,58.0,Baby Care,No,363.86,13.1,9.2,19.0,1.0,5.0
ORD000010,Dunzo,Ahmedabad,62.0,Personal Care,Yes,259.67,11.3,6.85,7.0,4.0,5.0
ORD000011,BigBasket Now,Hyderabad,56.0,Bakery,No,154.45,43.9,9.23,5.0,3.0,2.0
ORD000012,Swiggy Instamart,Delhi,59.0,Baby Care,No,616.41,14.6,4.74,15.0,5.0,3.0
ORD000013,JioMart Express,Delhi,26.0,Dairy & Eggs,Yes,364.05,15.3,9.4,2.0,3.0,5.0
ORD000014,Dunzo,Delhi,39.0,Beverages,No,446.94,21.6,4.9,11.0,5.0,4.0
ORD000015,Zepto,Delhi,64.0,Dairy & Eggs,No,234.98,31.1,2.44,6.0,4.0,5.0
ORD000016,BigBasket Now,Mumbai,22.0,Household Essentials,No,333.13,13.2,1.94,5.0,,3.0
ORD000017,JioMart Express,Delhi,29.0,Baby Care,Yes,301.28,11.0,9.94,7.0,5.0,1.0
ORD000018,JioMart Express,Bangalore,18.0,Groceries,No,379.8,10.0,3.67,4.0,4.0,3.0
ORD000019,Zepto,Chennai,61.0,Dairy & Eggs,No,269.96,31.1,2.02,5.0,5.0,4.0
ORD000020,BigBasket Now,Hyderabad,39.0,Dairy & Eggs,Yes,160.69,10.9,0.58,5.0,4.0,4.0
ORD000021,Dunzo,Chennai,55.0,Beverages,No,2073.72,16.3,3.21,10.0,3.0,5.0
ORD000022,Blinkit,Mumbai,36.0,Fruits & Vegetables,Yes,178.03,11.1,8.95,18.0,4.0,5.0
ORD000023,BigBasket Now,Delhi,33.0,Groceries,Yes,449.83,9.2,5.57,2.0,4.0,5.0
ORD000024,Zepto,Hyderabad,48.0,Dairy & Eggs,No,139.32,14.6,6.51,15.0,4.0,
ORD000025,JioMart Express,Bangalore,20.0,Meat & Seafood,No,121.73,11.3,9.26,9.0,5.0,3.0
ORD000026,Dunzo,Mumbai,40.0,Groceries,No,427.82,12.5,5.37,2.0,4.0,2.0
ORD000027,BigBasket Now,Kolkata,59.0,Meat & Seafood,No,447.92,36.7,8.46,3.0,5.0,4.0
ORD000028,Blinkit,Kolkata,35.0,Baby Care,Yes,859.97,19.5,3.58,2.0,4.0,
ORD000029,Blinkit,Bangalore,43.0,Dairy & Eggs,Yes,512.72,23.9,9.78,2.0,3.0,4.0
ORD000030,Swiggy Instamart,Mumbai,30.0,Dairy & Eggs,No,368.75,22.9,1.25,19.0,2.0,3.0
ORD000031,Swiggy Instamart,Chennai,35.0,Snacks & Munchies,Yes,228.2,15.8,7.39,14.0,5.0,2.0
ORD000032,Zepto,Hyderabad,20.0,Snacks & Munchies,No,991.69,13.8,6.78,18.0,2.0,4.0
ORD000033,BigBasket Now,Kolkata,40.0,Beverages,No,704.37,18.2,2.32,1.0,2.0,4.0
ORD000034,BigBasket Now,Chennai,20.0,Bakery,Yes,190.99,17.6,4.19,7.0,2.0,5.0
ORD000035,JioMart Express,Kolkata,42.0,Bakery,Yes,412.72,13.1,3.47,8.0,4.0,5.0
